index,timestamp,value,my_alert,expected,current_baseline,cusum_score,threshold
3243,2024-01-02T11:00:00,0.083333,False,True,0.0002744443249166667,47.47013934848349,59.48119715246348
3245,2024-01-02T13:00:00,0.083333,False,True,0.0002744443249166667,49.2429644993201,55.46654260859826
3672,2024-01-20T08:00:00,0.07767,False,True,0.0013871706851762387,18.595275409156038,56.55951059674925
3673,2024-01-20T09:00:00,0.083333,False,True,0.0013871706851762387,38.99745581447386,54.93501084586003
3675,2024-01-20T11:00:00,0.084112,False,True,0.0015258877536938626,20.387731867560426,51.005748054567015
4034,2024-02-04T10:00:00,0.078431,False,True,0.001398513704142857,23.73837334204506,36.884020900497006
4036,2024-02-04T12:00:00,0.085366,False,True,0.0012586623337285713,27.731451046050513,36.110384280722116
4039,2024-02-04T15:00:00,0.08284,False,True,0.0012586623337285713,27.204123752765888,35.11646558316258
4041,2024-02-04T17:00:00,0.052632,False,True,0.0012586623337285713,16.456103496490762,35.608242894411376
4330,2024-02-16T18:00:00,0.070588,False,True,0.0016653685714285715,19.36174650010742,35.36108612316324
4332,2024-02-16T20:00:00,0.096552,False,True,0.0016653685714285715,26.84563206834953,36.623340563906694
4334,2024-02-16T22:00:00,0.062893,False,True,0.0016653685714285715,16.454285234731177,37.95619973909272
4335,2024-02-16T23:00:00,0.070513,False,True,0.0016653685714285715,35.35140331410675,37.147583667288885
4337,2024-02-17T01:00:00,0.057325,False,True,0.0016653685714285715,15.06313136384578,36.623340563906694
4338,2024-02-17T02:00:00,0.05814,False,True,0.0016653685714285715,30.823610490986965,34.397293974577664
5126,2024-03-20T22:00:00,0.013453,False,True,0.0007578273677142856,5.118759769230227,25.497884433320664
5127,2024-03-20T23:00:00,0.019802,False,True,0.0007578273677142856,13.553454540287902,25.326333162335956
5128,2024-03-21T00:00:00,0.025253,False,True,0.0007578273677142856,24.574135452593083,26.895502869098678
5130,2024-03-21T02:00:00,0.020101,False,True,0.0007578273677142856,8.442328484329758,26.541373141243767
5131,2024-03-21T03:00:00,0.014925,False,True,0.0007578273677142856,14.267144318827107,26.190588768072864
5132,2024-03-21T04:00:00,0.017778,False,True,0.0007578273677142856,21.684666035778392,24.98490096102209
5134,2024-03-21T06:00:00,0.015,False,True,0.0007578273677142856,5.804430007812788,26.895502869098678
5597,2024-04-09T13:00:00,0.016667,False,True,0.00045679857142857136,9.897586891778452,26.541373141243767
5598,2024-04-09T14:00:00,0.015075,False,True,0.00045679857142857136,18.857844788974383,25.670046639955736
5600,2024-04-09T16:00:00,0.021053,False,True,0.00045679857142857136,13.167609987298352,24.4762887206504
5601,2024-04-09T17:00:00,0.018182,False,True,0.00045679857142857136,24.199564320415597,25.670046639955736
5603,2024-04-09T19:00:00,0.016667,False,True,0.00045679857142857136,9.695089178803503,27.43358864347802
5604,2024-04-09T20:00:00,0.014151,False,True,0.00045679857142857136,17.878709048094017,26.365580754033672
6539,2024-05-18T19:00:00,0.025362,False,True,0.0008141414285714285,12.123284077872192,15.31377727294061
6541,2024-05-18T21:00:00,0.028689,False,True,0.0008141414285714285,13.566447675050618,18.286772602322372
7859,2024-07-12T19:00:00,0.006579,False,True,0.0001804557142857143,8.905766085015982,11.143670295175518
7862,2024-07-12T22:00:00,0.006048,False,True,0.0001804557142857143,8.086832585799542,11.06507415856119
